Film,Actor,Director,Screenwriter
Лиззи Магуайр,Хилари Дафф,Джим Фолл,Сьюзэн Эстель Джэнсен
Матрица,Киану Ривз,Лана Вачовски,Лилли Вачовски
Клад,Сигурни Уивер,Эндрю Дэвис,Луис Сачар
Управление гневом,Адам Сэндлер,Питер Сигал,Дэвид Дорфман
Афера,Эдвард Бёрнс,Джеймс Фоули,Даг Джанг
Телефонная будка,Колин Фаррелл,Джоэл Шумахер,Ларри Коэн
Рекрут,Аль Пачино,Роджер Дональдсон,Роджер Таун
Разыскиваются в Малибу,Джейми Кеннеди,Джон Уайтселл,Факс Бар
Тупой и еще тупее тупого: Когда Гарри встретил Ллойда,Эрик Кристиан Олсен,Трой Миллер,Дэнни Байерс
Эквилибриум,Кристиан Бэйл,Курт Уиммер,Курт Уиммер
Дежурный папа,Эдди Мерфи,Стив Карр,Джефф Родкей
Пуленепробиваемый,Чоу Юнь-Фат,Пол Хантер,Этан Райфф
Властелин колец: Две крепости,Элайджа Вуд,Питер Джексон,Дж.Р.Р. Толкин
"Играй, как Бекхэм",Парминдер К. Награ,Гуриндер Чадха,Гуриндер Чадха
Цыпочка,Роб Шнайдер,Том Брэди,Том Брэди
Славные парни,Роберт Де Ниро,Мартин Скорсезе,Николас Пиледжи
Красота по-американски,Кевин Спейси,Сэм Мендес,Алан Болл
Головокружение,Джеймс Стюарт,Альфред Хичкок,Алек Коппель
Сансет бульвар,Уильям Холден,Билли Уайлдер,Чарльз Брэкетт
Апокалипсис сегодня,Марлон Брандо,Фрэнсис Форд Коппола,Джон Милиус
Пианист,Эдриан Броуди,Роман Полански,Рональд Харвуд
В джазе только девушки,Мэрилин Монро,Билли Уайлдер,Билли Уайлдер
Убить пересмешника,Грегори Пек,Роберт Маллиган,Харпер Ли
Таксист,Роберт Де Ниро,Мартин Скорсезе,Пол Шредер
Третий человек,Джозеф Коттен,Кэрол Рид,Грэм Грин
Тропы славы,Кирк Дуглас,Стэнли Кубрик,Стэнли Кубрик
Бойцовский клуб,Эдвард Нортон,Дэвид Финчер,Чак Паланик
Подводная лодка,Юрген Прохнов,Вольфганг Петерсен,Вольфганг Петерсен
Секреты Лос-Анджелеса,Рассел Кроу,Кёртис Хэнсон,Джеймс Эллрой
Двойная страховка,Фред Макмюррей,Билли Уайлдер,Билли Уайлдер
Китайский квартал,Джек Николсон,Роман Полански,Роберт Таун
Мальтийский сокол,Хамфри Богарт,Джон Хьюстон,Джон Хьюстон
Реквием по мечте,Джаред Лето,Даррен Аронофски,Хьюберт Селби мл.
Поющие под дождем,Джин Келли,Стэнли Донен,Бетти Комден
Мост через реку Квай,Алек Гиннесс,Дэвид Лин,Пьер Буль
